Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Duration
576,83,4,2021-01-08--2021-01-15,Wasted On You,"49,48,563",Morgan Wallen,2147875,3cBsEDNhFI9E82vPj3kvi3,['contemporary country'],08-01-2021,"2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15",76,178520
577,13,38,2020-07-31--2020-08-07,La Jeepeta - Remix,"49,42,545","Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",2127531,1mohfLaTJtB2RplHLQVM70,"['latin', 'reggaeton', 'trap latino']",24-04-2020,"2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22",75,345241
578,137,1,2021-01-22--2021-01-29,Los Dioses,"59,29,507","Anuel AA, Ozuna",18306226,73O30uMI7n6DuzBmbtO7kC,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",22-01-2021,2021-01-22--2021-01-29,73,206587
579,132,9,2021-01-01--2021-01-08,Si Me Tomo Una Cerveza,"54,27,534","Migrantes, Alico",114348,3lCbsHaN1wCxyDzcNN2x4N,['cumbia pop'],07-11-2020,"2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04",74,182199
580,90,4,2021-01-08--2021-01-15,Somebody’s Problem,"53,32,437",Morgan Wallen,2147875,0SErdEdRcVX1uJCf1eTGYH,['contemporary country'],20-11-2020,"2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2020-11-20--2020-11-27",70,161773
581,66,2,2021-01-15--2021-01-22,De Una Vez,"51,86,567",Selena Gomez,28931149,1v3lhrZEsOcazqR2QIyyRu,"['dance pop', 'pop', 'post-teen pop']",12-03-2021,"2021-01-22--2021-01-29
2021-01-15--2021-01-22",70,155956
582,121,7,2021-01-01--2021-01-08,Way Out (feat. Big Sean),"49,62,949",Jack Harlow,1053324,6rLi6PyWXu1rPlShuIZpj6,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",09-12-2020,"2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18",72,168906
583,42,17,2020-09-18--2020-09-25,Diamonds,"49,31,163",Sam Smith,17097317,5hvwx5i67IwnCkjl9VHkNv,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",17-09-2020,"2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25",77,213869
584,190,3,2021-01-01--2021-01-08,Dancing in My Room,"49,14,093",347aidan,211500,6Pgmqg15yVexuOgtzuxwoX,['sad rap'],26-10-2020,"2021-01-22--2021-01-29
2021-01-08--2021-01-15
2021-01-01--2021-01-08",79,180139
585,116,8,2020-11-13--2020-11-20,De Cora <3,"48,64,544","Rauw Alejandro, J Balvin",6096559,22Sh5dlwbERqJAq1fZk5b2,"['puerto rican pop', 'trap latino']",13-11-2020,"2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20",73,190101
